timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label,residual_lat,residual_lon,residual_alt,residual_mag,predicted_lat,predicted_lon,predicted_alt,residual_mag_mean,residual_mag_std,imu_acc_mag
68.316,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,0,945.0282592773438,3062,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.0821906838066589e-13,2.778001136415894e-14,1001.0
68.416,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,0,1,945.0282592773438,3063,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.0821906838066589e-13,2.778001136415894e-14,1001.0
68.513,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,1,945.0282592773438,3063,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.0821906838066589e-13,2.778001136415894e-14,1001.0
68.612,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,1,0,945.0282592773438,3063,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.0821906838066589e-13,2.778001136415894e-14,1001.0
68.714,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,0,0,1,945.0282592773438,3063,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.0859047734068555e-13,2.7885862344811078e-14,1001.0
68.815,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1000,1,1,0,945.0282592773438,3063,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.1740092732181256e-13,1.1751723284184602e-15,1000.0
68.915,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,0,0,945.0282592773438,3063,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.1740092732181256e-13,1.1751723284184602e-15,1001.0
69.015,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,0,1,945.0282592773438,3064,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.1740092732181256e-13,1.1751723284184602e-15,1001.0
69.115,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,0,945.0282592773438,3064,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.1740092732181256e-13,1.1751723284184602e-15,1001.0
69.216,-35.363261,149.1652299,584.09,6,10,0.0,0,0,-1001,1,1,1,945.0282592773438,3064,224,80,-528,0,7.105427357601002e-15,-2.842170943040401e-14,-1.1368683772161603e-13,1.1740092732181256e-13,-35.36326100000001,149.16522990000004,584.0900000000001,1.1740092732181256e-13,1.1751723284184602e-15,1001.0
