timestamp,gps_lat,gps_lon,gps_alt,gps_fix_type,gps_satellites,gps_speed,imu_xacc,imu_yacc,imu_zacc,imu_xgyro,imu_ygyro,imu_zgyro,baro_pressure,baro_temp,mag_x,mag_y,mag_z,label,residual_lat,residual_lon,residual_alt,residual_mag,predicted_lat,predicted_lon,predicted_alt,residual_mag_mean,residual_mag_std,imu_acc_mag
65.137,-35.36150414827919,149.16698685172082,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3056,224,80,-528,1,9.932009703561562e-08,9.932011835189769e-08,1.1368683772161603e-13,1.4045984331691387e-07,-35.361504247599285,149.1669867524007,584.0899999999999,9.495441178622374e-08,6.479141562370228e-08,1001.0
65.233,-35.36149932983971,149.16699167016031,584.09,6,10,0.0,0,0,-1001,0,1,0,945.0282592773438,3056,224,80,-528,1,-1.151333179905123e-07,-1.1513330377965758e-07,1.1368683772161603e-13,1.6282308973464502e-07,-35.36149921470639,149.16699178529362,584.0899999999999,1.0503240720850053e-07,6.69068118686612e-08,1001.0
65.336,-35.36149421003914,149.16699678996088,584.09,6,10,0.0,0,0,-1000,1,0,1,945.0282592773438,3056,224,80,-528,1,4.586766522152175e-08,4.586766522152175e-08,1.1368683772161603e-13,6.486667423076442e-08,-35.361494255906806,149.1669967440932,584.0899999999999,9.736638581153433e-08,6.665204288945285e-08,1000.0
65.435,-35.36148923462486,149.16700176537515,584.09,6,10,0.0,0,0,-1000,0,0,1,945.0282592773438,3056,224,80,-528,1,7.905605059477239e-09,7.905612164904596e-09,1.1368683772161603e-13,1.1180218918753083e-08,-35.36148924253047,149.16700175746954,584.0899999999999,8.944651689018908e-08,7.206049979324894e-08,1000.0
65.536,-35.36148421243286,149.16700678756715,584.09,6,10,0.0,0,0,-1001,1,0,0,945.0282592773438,3057,224,80,-528,1,2.9105812870966474e-08,2.9105819976393832e-08,1.1368683772161603e-13,4.1161840330467354e-08,-35.361484241538676,149.16700675846133,584.0899999999999,8.706954261232777e-08,7.33396729222505e-08,1001.0
65.638,-35.36147910266972,149.1670118973303,584.09,6,10,0.0,0,0,-1001,1,1,0,945.0282592773438,3057,224,80,-528,1,1.3009430688271095e-07,1.3009432109356567e-07,1.1368683772161603e-13,1.8398114322968445e-07,-35.361479232764026,149.16701176723598,584.0899999999999,1.0225037972454279e-07,7.636316257577643e-08,1001.0
65.737,-35.361474163840775,149.16701683615923,584.09,6,10,0.0,0,0,-1001,0,0,1,945.0282592773438,3057,224,80,-528,1,2.329559833924577e-08,2.329559833924577e-08,1.1368683772161603e-13,3.2944951115153675e-08,-35.36147418713637,149.16701681286364,584.0899999999999,1.0381132344286315e-07,7.457310800401738e-08,1001.0
65.838,-35.361469105969434,149.16702189403057,584.09,6,10,0.0,0,0,-1001,1,0,1,945.0282592773438,3057,224,80,-528,1,7.035346527572983e-08,7.035345106487512e-08,1.1368683772161603e-13,9.949481470435545e-08,-35.3614691763229,149.16702182367712,584.0899999999999,9.076457157579546e-08,6.004878899175288e-08,1001.0
65.937,-35.36146415207243,149.1670268479276,584.09,6,10,0.0,0,0,-1001,0,0,0,945.0282592773438,3058,224,80,-528,1,-3.987125296589511e-09,-3.987139507444226e-09,1.1368683772161603e-13,5.6386567190645045e-09,-35.361464148085304,149.16702685191473,584.0899999999999,8.676602891846167e-08,6.455108898151193e-08,1001.0
66.039,-35.361459067736625,149.16703193226337,584.09,6,10,0.0,0,0,-1001,1,0,0,945.0282592773438,3058,224,80,-528,1,7.686688974217759e-08,7.68668542150408e-08,1.1368683772161603e-13,1.087061728494079e-07,-35.361459144603515,149.16703185539652,584.0899999999999,8.512574051492096e-08,6.367091125458734e-08,1001.0
